Tissue_cell_type_name	Developmental_stage	Organ_system	Specific_tissue_name	Specific_cell_type	General_cell_type	Cell_Ontology_ID	General_tissue_name	Uber_anatomy_ontology_ID
Fetal_HCA_Adrenal_CSH1_CSH2 positive cells	Fetal	Endocrine system	Fetal_HCA_Adrenal	CSH1_CSH2 positive cells	Trophoblast cell	CL:0000351	Adrenal gland	UBERON:0002369
Fetal_HCA_Adrenal_Erythroblasts	Fetal	Endocrine system	Fetal_HCA_Adrenal	Erythroblasts	Erythroblast	CL:0000765	Adrenal gland	UBERON:0002369
Fetal_HCA_Adrenal_Lymphoid cells	Fetal	Endocrine system	Fetal_HCA_Adrenal	Lymphoid cells	Innate lymphoid cell	CL:0001065	Adrenal gland	UBERON:0002369
Fetal_HCA_Adrenal_Megakaryocytes	Fetal	Endocrine system	Fetal_HCA_Adrenal	Megakaryocytes	Megakaryocyte	CL:0000556	Adrenal gland	UBERON:0002369
Fetal_HCA_Adrenal_Myeloid cells	Fetal	Endocrine system	Fetal_HCA_Adrenal	Myeloid cells	Myeloid cell	CL:0000763	Adrenal gland	UBERON:0002369
Fetal_HCA_Adrenal_Schwann cells	Fetal	Endocrine system	Fetal_HCA_Adrenal	Schwann cells	Schwann cell	CL:0002573	Adrenal gland	UBERON:0002369
Fetal_HCA_Adrenal_SLC26A4_PAEP positive cells	Fetal	Endocrine system	Fetal_HCA_Adrenal	SLC26A4_PAEP positive cells	Cortical cell of adrenal gland	CL:0002097	Adrenal gland	UBERON:0002369
Fetal_HCA_Adrenal_Stromal cells	Fetal	Endocrine system	Fetal_HCA_Adrenal	Stromal cells	Stromal cell	CL:0000499	Adrenal gland	UBERON:0002369
Fetal_HCA_Adrenal_Sympathoblasts	Fetal	Endocrine system	Fetal_HCA_Adrenal	Sympathoblasts	Neuron	CL:0000540	Adrenal gland	UBERON:0002369
Fetal_HCA_Adrenal_Vascular endothelial cells	Fetal	Endocrine system	Fetal_HCA_Adrenal	Vascular endothelial cells	Endothelial cell	CL:0000115	Adrenal gland	UBERON:0002369
Fetal_HCA_Cerebellum_10k_Astrocytes	Fetal	Nervous system	Fetal_HCA_Cerebellum_10k	Astrocytes	Astrocyte	CL:0000127	Cerebellum	UBERON:0002037
Fetal_HCA_Cerebellum_10k_Granule neurons	Fetal	Nervous system	Fetal_HCA_Cerebellum_10k	Granule neurons	Neuron	CL:0000540	Cerebellum	UBERON:0002037
Fetal_HCA_Cerebellum_10k_Inhibitory interneurons	Fetal	Nervous system	Fetal_HCA_Cerebellum_10k	Inhibitory interneurons	Inhibitory neuron	CL:0008029	Cerebellum	UBERON:0002037
Fetal_HCA_Cerebellum_10k_Microglia	Fetal	Nervous system	Fetal_HCA_Cerebellum_10k	Microglia	Microglial cell	CL:0000129	Cerebellum	UBERON:0002037
Fetal_HCA_Cerebellum_10k_Oligodendrocytes	Fetal	Nervous system	Fetal_HCA_Cerebellum_10k	Oligodendrocytes	Oligodendrocyte	CL:0000128	Cerebellum	UBERON:0002037
Fetal_HCA_Cerebellum_10k_Purkinje neurons	Fetal	Nervous system	Fetal_HCA_Cerebellum_10k	Purkinje neurons	Neuron	CL:0000540	Cerebellum	UBERON:0002037
Fetal_HCA_Cerebellum_10k_SLC24A4_PEX5L positive cells	Fetal	Nervous system	Fetal_HCA_Cerebellum_10k	SLC24A4_PEX5L positive cells	Neuron	CL:0000540	Cerebellum	UBERON:0002037
Fetal_HCA_Cerebellum_10k_Unipolar brush cells	Fetal	Nervous system	Fetal_HCA_Cerebellum_10k	Unipolar brush cells	Neuron	CL:0000540	Cerebellum	UBERON:0002037
Fetal_HCA_Cerebellum_10k_Vascular endothelial cells	Fetal	Nervous system	Fetal_HCA_Cerebellum_10k	Vascular endothelial cells	Endothelial cell	CL:0000115	Cerebellum	UBERON:0002037
Fetal_HCA_Cerebrum_10k_Astrocytes	Fetal	Nervous system	Fetal_HCA_Cerebrum_10k	Astrocytes	Astrocyte	CL:0000127	Cerebral hemisphere	UBERON:0001869
Fetal_HCA_Cerebrum_10k_Excitatory neurons	Fetal	Nervous system	Fetal_HCA_Cerebrum_10k	Excitatory neurons	Excitatory neuron	CL:0008030	Cerebral hemisphere	UBERON:0001869
Fetal_HCA_Cerebrum_10k_Inhibitory neurons	Fetal	Nervous system	Fetal_HCA_Cerebrum_10k	Inhibitory neurons	Inhibitory neuron	CL:0008029	Cerebral hemisphere	UBERON:0001869
Fetal_HCA_Cerebrum_10k_Limbic system neurons	Fetal	Nervous system	Fetal_HCA_Cerebrum_10k	Limbic system neurons	Neuron	CL:0000540	Cerebral hemisphere	UBERON:0001869
Fetal_HCA_Cerebrum_10k_Microglia	Fetal	Nervous system	Fetal_HCA_Cerebrum_10k	Microglia	Microglial cell	CL:0000129	Cerebral hemisphere	UBERON:0001869
Fetal_HCA_Cerebrum_10k_Oligodendrocytes	Fetal	Nervous system	Fetal_HCA_Cerebrum_10k	Oligodendrocytes	Oligodendrocyte	CL:0000128	Cerebral hemisphere	UBERON:0001869
Fetal_HCA_Cerebrum_10k_SKOR2_NPSR1 positive cells	Fetal	Nervous system	Fetal_HCA_Cerebrum_10k	SKOR2_NPSR1 positive cells	Neuron	CL:0000540	Cerebral hemisphere	UBERON:0001869
Fetal_HCA_Cerebrum_10k_Vascular endothelial cells	Fetal	Nervous system	Fetal_HCA_Cerebrum_10k	Vascular endothelial cells	Endothelial cell	CL:0000115	Cerebral hemisphere	UBERON:0001869
Fetal_HCA_Eye_Amacrine cells	Fetal	Sensory system	Fetal_HCA_Eye	Amacrine cells	Neuron	CL:0000540	Eye	UBERON:0000970
Fetal_HCA_Eye_Astrocytes	Fetal	Sensory system	Fetal_HCA_Eye	Astrocytes	Astrocyte	CL:0000127	Eye	UBERON:0000970
Fetal_HCA_Eye_Bipolar cells	Fetal	Sensory system	Fetal_HCA_Eye	Bipolar cells	Bipolar neuron	CL:0000103	Eye	UBERON:0000970
Fetal_HCA_Eye_Corneal and conjunctival epithelial cells	Fetal	Sensory system	Fetal_HCA_Eye	Corneal and conjunctival epithelial cells	Epithelial cell	CL:0000066	Eye	UBERON:0000970
Fetal_HCA_Eye_Ganglion cells	Fetal	Sensory system	Fetal_HCA_Eye	Ganglion cells	Retinal ganglion cell	CL:0000740	Eye	UBERON:0000970
Fetal_HCA_Eye_Horizontal cells	Fetal	Sensory system	Fetal_HCA_Eye	Horizontal cells	Retina horizontal cell	CL:0000745	Eye	UBERON:0000970
Fetal_HCA_Eye_Lens fibre cells	Fetal	Sensory system	Fetal_HCA_Eye	Lens fibre cells	Lens fibre cell	CL:0011004	Eye	UBERON:0000970
Fetal_HCA_Eye_Microglia	Fetal	Sensory system	Fetal_HCA_Eye	Microglia	Microglial cell	CL:0000129	Eye	UBERON:0000970
Fetal_HCA_Eye_PDE11A_FAM19A2 positive cells	Fetal	Sensory system	Fetal_HCA_Eye	PDE11A_FAM19A2 positive cells	Neuron	CL:0000540	Eye	UBERON:0000970
Fetal_HCA_Eye_Photoreceptor cells	Fetal	Sensory system	Fetal_HCA_Eye	Photoreceptor cells	Photoreceptor cell	CL:0000210	Eye	UBERON:0000970
Fetal_HCA_Eye_Retinal pigment cells	Fetal	Sensory system	Fetal_HCA_Eye	Retinal pigment cells	Retinal pigment epithelial cell	CL:0002586	Eye	UBERON:0000970
Fetal_HCA_Eye_Retinal progenitors and Muller glia	Fetal	Sensory system	Fetal_HCA_Eye	Retinal progenitors and Muller glia	Mueller cell	CL:0000636	Eye	UBERON:0000970
Fetal_HCA_Eye_Skeletal muscle cells	Fetal	Sensory system	Fetal_HCA_Eye	Skeletal muscle cells	Cell of skeletal muscle	CL:0000188	Eye	UBERON:0000970
Fetal_HCA_Eye_Smooth muscle cells	Fetal	Sensory system	Fetal_HCA_Eye	Smooth muscle cells	Smooth muscle cell	CL:0000192	Eye	UBERON:0000970
Fetal_HCA_Eye_Stromal cells	Fetal	Sensory system	Fetal_HCA_Eye	Stromal cells	Stromal cell	CL:0000499	Eye	UBERON:0000970
Fetal_HCA_Eye_Vascular endothelial cells	Fetal	Sensory system	Fetal_HCA_Eye	Vascular endothelial cells	Endothelial cell	CL:0000115	Eye	UBERON:0000970
Fetal_HCA_Heart_Cardiomyocytes	Fetal	Cardiovascular system	Fetal_HCA_Heart	Cardiomyocytes	Fetal cardiomyocyte	CL:0002495	Heart	UBERON:0000948
Fetal_HCA_Heart_CLC_IL5RA positive cells	Fetal	Cardiovascular system	Fetal_HCA_Heart	CLC_IL5RA positive cells	Endothelial cell	CL:0000115	Heart	UBERON:0000948
Fetal_HCA_Heart_ELF3_AGBL2 positive cells	Fetal	Cardiovascular system	Fetal_HCA_Heart	ELF3_AGBL2 positive cells	Endothelial cell	CL:0000115	Heart	UBERON:0000948
Fetal_HCA_Heart_Endocardial cells	Fetal	Cardiovascular system	Fetal_HCA_Heart	Endocardial cells	Endocardial cell	CL:0002350	Heart	UBERON:0000948
Fetal_HCA_Heart_Epicardial fat cells	Fetal	Cardiovascular system	Fetal_HCA_Heart	Epicardial fat cells	Epicardial adipocyte	CL:1000309	Heart	UBERON:0000948
Fetal_HCA_Heart_Lymphatic endothelial cells	Fetal	Cardiovascular system	Fetal_HCA_Heart	Lymphatic endothelial cells	Endothelial cell	CL:0000115	Heart	UBERON:0000948
Fetal_HCA_Heart_Lymphoid cells	Fetal	Cardiovascular system	Fetal_HCA_Heart	Lymphoid cells	Innate lymphoid cell	CL:0001065	Heart	UBERON:0000948
Fetal_HCA_Heart_Megakaryocytes	Fetal	Cardiovascular system	Fetal_HCA_Heart	Megakaryocytes	Hematopoietic stem cell	CL:0000037	Heart	UBERON:0000948
Fetal_HCA_Heart_Myeloid cells	Fetal	Cardiovascular system	Fetal_HCA_Heart	Myeloid cells	Myeloid cell	CL:0000763	Heart	UBERON:0000948
Fetal_HCA_Heart_SATB2_LRRC7 positive cells	Fetal	Cardiovascular system	Fetal_HCA_Heart	SATB2_LRRC7 positive cells	Neuron	CL:0000540	Heart	UBERON:0000948
Fetal_HCA_Heart_Schwann cells	Fetal	Cardiovascular system	Fetal_HCA_Heart	Schwann cells	Schwann cell	CL:0002573	Heart	UBERON:0000948
Fetal_HCA_Heart_Smooth muscle cells	Fetal	Cardiovascular system	Fetal_HCA_Heart	Smooth muscle cells	Smooth muscle cell	CL:0000192	Heart	UBERON:0000948
Fetal_HCA_Heart_Stromal cells	Fetal	Cardiovascular system	Fetal_HCA_Heart	Stromal cells	Stromal cell	CL:0000499	Heart	UBERON:0000948
Fetal_HCA_Heart_Vascular endothelial cells	Fetal	Cardiovascular system	Fetal_HCA_Heart	Vascular endothelial cells	Endothelial cell	CL:0000115	Heart	UBERON:0000948
Fetal_HCA_Heart_Visceral neurons	Fetal	Cardiovascular system	Fetal_HCA_Heart	Visceral neurons	Neuron	CL:0000540	Heart	UBERON:0000948
Fetal_HCA_Intestine_Chromaffin cells	Fetal	Digestive system	Fetal_HCA_Intestine	Chromaffin cells	Neuron	CL:0000540	Intestine	UBERON:0000160
Fetal_HCA_Intestine_ENS glia	Fetal	Digestive system	Fetal_HCA_Intestine	ENS glia	Glial cell	CL:0000125	Intestine	UBERON:0000160
Fetal_HCA_Intestine_ENS neurons	Fetal	Digestive system	Fetal_HCA_Intestine	ENS neurons	Neuron	CL:0000540	Intestine	UBERON:0000160
Fetal_HCA_Intestine_Erythroblasts	Fetal	Digestive system	Fetal_HCA_Intestine	Erythroblasts	Erythroblast	CL:0000765	Intestine	UBERON:0000160
Fetal_HCA_Intestine_Intestinal epithelial cells	Fetal	Digestive system	Fetal_HCA_Intestine	Intestinal epithelial cells	Epithelial cell	CL:0000066	Intestine	UBERON:0000160
Fetal_HCA_Intestine_Lymphatic endothelial cells	Fetal	Digestive system	Fetal_HCA_Intestine	Lymphatic endothelial cells	Endothelial cell	CL:0000115	Intestine	UBERON:0000160
Fetal_HCA_Intestine_Lymphoid cells	Fetal	Digestive system	Fetal_HCA_Intestine	Lymphoid cells	Innate lymphoid cell	CL:0001065	Intestine	UBERON:0000160
Fetal_HCA_Intestine_Mesothelial cells	Fetal	Digestive system	Fetal_HCA_Intestine	Mesothelial cells	Mesothelial cell	CL:0000077	Intestine	UBERON:0000160
Fetal_HCA_Intestine_Myeloid cells	Fetal	Digestive system	Fetal_HCA_Intestine	Myeloid cells	Myeloid cell	CL:0000763	Intestine	UBERON:0000160
Fetal_HCA_Intestine_Smooth muscle cells	Fetal	Digestive system	Fetal_HCA_Intestine	Smooth muscle cells	Smooth muscle cell	CL:0000192	Intestine	UBERON:0000160
Fetal_HCA_Intestine_Stromal cells	Fetal	Digestive system	Fetal_HCA_Intestine	Stromal cells	Stromal cell	CL:0000499	Intestine	UBERON:0000160
Fetal_HCA_Intestine_Vascular endothelial cells	Fetal	Digestive system	Fetal_HCA_Intestine	Vascular endothelial cells	Endothelial cell	CL:0000115	Intestine	UBERON:0000160
Fetal_HCA_Kidney_Erythroblasts	Fetal	Urinary system	Fetal_HCA_Kidney	Erythroblasts	Erythroblast	CL:0000765	Kidney	UBERON:0002113
Fetal_HCA_Kidney_Lymphoid cells	Fetal	Urinary system	Fetal_HCA_Kidney	Lymphoid cells	Innate lymphoid cell	CL:0001065	Kidney	UBERON:0002113
Fetal_HCA_Kidney_Megakaryocytes	Fetal	Urinary system	Fetal_HCA_Kidney	Megakaryocytes	Megakaryocyte	CL:0000556	Kidney	UBERON:0002113
Fetal_HCA_Kidney_Mesangial cells	Fetal	Urinary system	Fetal_HCA_Kidney	Mesangial cells	Mesangial cell	CL:0000650	Kidney	UBERON:0002113
Fetal_HCA_Kidney_Metanephric cells	Fetal	Urinary system	Fetal_HCA_Kidney	Metanephric cells	Epithelial cell	CL:0000066	Kidney	UBERON:0002113
Fetal_HCA_Kidney_Myeloid cells	Fetal	Urinary system	Fetal_HCA_Kidney	Myeloid cells	Myeloid cell	CL:0000763	Kidney	UBERON:0002113
Fetal_HCA_Kidney_Stromal cells	Fetal	Urinary system	Fetal_HCA_Kidney	Stromal cells	Stromal cell	CL:0000499	Kidney	UBERON:0002113
Fetal_HCA_Kidney_Ureteric bud cells	Fetal	Urinary system	Fetal_HCA_Kidney	Ureteric bud cells	Epithelial cell	CL:0000066	Kidney	UBERON:0002113
Fetal_HCA_Kidney_Vascular endothelial cells	Fetal	Urinary system	Fetal_HCA_Kidney	Vascular endothelial cells	Endothelial cell	CL:0000115	Kidney	UBERON:0002113
Fetal_HCA_Liver_Erythroblasts	Fetal	Digestive system	Fetal_HCA_Liver	Erythroblasts	Erythroblast	CL:0000765	Liver	UBERON:0002107
Fetal_HCA_Liver_Hematopoietic stem cells	Fetal	Digestive system	Fetal_HCA_Liver	Hematopoietic stem cells	Hematopoietic stem cell	CL:0000037	Liver	UBERON:0002107
Fetal_HCA_Liver_Hepatoblasts	Fetal	Digestive system	Fetal_HCA_Liver	Hepatoblasts	Hepatoblast	CL:0005026	Liver	UBERON:0002107
Fetal_HCA_Liver_Lymphoid cells	Fetal	Digestive system	Fetal_HCA_Liver	Lymphoid cells	Innate lymphoid cell	CL:0001065	Liver	UBERON:0002107
Fetal_HCA_Liver_Megakaryocytes	Fetal	Digestive system	Fetal_HCA_Liver	Megakaryocytes	Megakaryocyte	CL:0000556	Liver	UBERON:0002107
Fetal_HCA_Liver_Mesothelial cells	Fetal	Digestive system	Fetal_HCA_Liver	Mesothelial cells	Mesothelial cell	CL:0000077	Liver	UBERON:0002107
Fetal_HCA_Liver_Myeloid cells	Fetal	Digestive system	Fetal_HCA_Liver	Myeloid cells	Myeloid cell	CL:0000763	Liver	UBERON:0002107
Fetal_HCA_Liver_Stellate cells	Fetal	Digestive system	Fetal_HCA_Liver	Stellate cells	Hepatic stellate cell	CL:0000632	Liver	UBERON:0002107
Fetal_HCA_Liver_Vascular endothelial cells	Fetal	Digestive system	Fetal_HCA_Liver	Vascular endothelial cells	Endothelial cell	CL:0000115	Liver	UBERON:0002107
Fetal_HCA_Lung_Bronchiolar and alveolar epithelial cells	Fetal	Respiratory system	Fetal_HCA_Lung	Bronchiolar and alveolar epithelial cells	Epithelial cell	CL:0000066	Lung	UBERON:0002048
Fetal_HCA_Lung_Ciliated epithelial cells	Fetal	Respiratory system	Fetal_HCA_Lung	Ciliated epithelial cells	Ciliated cell	CL:0000064	Lung	UBERON:0002048
Fetal_HCA_Lung_Lymphatic endothelial cells	Fetal	Respiratory system	Fetal_HCA_Lung	Lymphatic endothelial cells	Endothelial cell	CL:0000115	Lung	UBERON:0002048
Fetal_HCA_Lung_Lymphoid cells	Fetal	Respiratory system	Fetal_HCA_Lung	Lymphoid cells	Innate lymphoid cell	CL:0001065	Lung	UBERON:0002048
Fetal_HCA_Lung_Megakaryocytes	Fetal	Respiratory system	Fetal_HCA_Lung	Megakaryocytes	Megakaryocyte	CL:0000556	Lung	UBERON:0002048
Fetal_HCA_Lung_Mesothelial cells	Fetal	Respiratory system	Fetal_HCA_Lung	Mesothelial cells	Mesothelial cell	CL:0000077	Lung	UBERON:0002048
Fetal_HCA_Lung_Myeloid cells	Fetal	Respiratory system	Fetal_HCA_Lung	Myeloid cells	Myeloid cell	CL:0000763	Lung	UBERON:0002048
Fetal_HCA_Lung_Neuroendocrine cells	Fetal	Respiratory system	Fetal_HCA_Lung	Neuroendocrine cells	Epithelial cell	CL:0000066	Lung	UBERON:0002048
Fetal_HCA_Lung_Squamous epithelial cells	Fetal	Respiratory system	Fetal_HCA_Lung	Squamous epithelial cells	Epithelial cell	CL:0000066	Lung	UBERON:0002048
Fetal_HCA_Lung_Stromal cells	Fetal	Respiratory system	Fetal_HCA_Lung	Stromal cells	Stromal cell	CL:0000499	Lung	UBERON:0002048
Fetal_HCA_Lung_Vascular endothelial cells	Fetal	Respiratory system	Fetal_HCA_Lung	Vascular endothelial cells	Endothelial cell	CL:0000115	Lung	UBERON:0002048
Fetal_HCA_Lung_Visceral neurons	Fetal	Respiratory system	Fetal_HCA_Lung	Visceral neurons	Neuron	CL:0000540	Lung	UBERON:0002048
Fetal_HCA_Muscle_Erythroblasts	Fetal	Muscular system	Fetal_HCA_Muscle	Erythroblasts	Erythroblast	CL:0000765	Muscle organ	UBERON:0001630
Fetal_HCA_Muscle_Lymphatic endothelial cells	Fetal	Muscular system	Fetal_HCA_Muscle	Lymphatic endothelial cells	Endothelial cell	CL:0000115	Muscle organ	UBERON:0001630
Fetal_HCA_Muscle_Lymphoid cells	Fetal	Muscular system	Fetal_HCA_Muscle	Lymphoid cells	Innate lymphoid cell	CL:0001065	Muscle organ	UBERON:0001630
Fetal_HCA_Muscle_Myeloid cells	Fetal	Muscular system	Fetal_HCA_Muscle	Myeloid cells	Myeloid cell	CL:0000763	Muscle organ	UBERON:0001630
Fetal_HCA_Muscle_Satellite cells	Fetal	Muscular system	Fetal_HCA_Muscle	Satellite cells	Skeletal muscle satellite cell	CL:0000594	Muscle organ	UBERON:0001630
Fetal_HCA_Muscle_Schwann cells	Fetal	Muscular system	Fetal_HCA_Muscle	Schwann cells	Schwann cell	CL:0002573	Muscle organ	UBERON:0001630
Fetal_HCA_Muscle_Skeletal muscle cells	Fetal	Muscular system	Fetal_HCA_Muscle	Skeletal muscle cells	Cell of skeletal muscle	CL:0000188	Muscle organ	UBERON:0001630
Fetal_HCA_Muscle_Smooth muscle cells	Fetal	Muscular system	Fetal_HCA_Muscle	Smooth muscle cells	Smooth muscle cell	CL:0000192	Muscle organ	UBERON:0001630
Fetal_HCA_Muscle_Stromal cells	Fetal	Muscular system	Fetal_HCA_Muscle	Stromal cells	Stromal cell	CL:0000499	Muscle organ	UBERON:0001630
Fetal_HCA_Muscle_Vascular endothelial cells	Fetal	Muscular system	Fetal_HCA_Muscle	Vascular endothelial cells	Endothelial cell	CL:0000115	Muscle organ	UBERON:0001630
Fetal_HCA_Pancreas_Acinar cells	Fetal	Digestive system	Fetal_HCA_Pancreas	Acinar cells	Acinar cell	CL:0000622	Pancreas	UBERON:0001264
Fetal_HCA_Pancreas_CCL19_CCL21 positive cells	Fetal	Digestive system	Fetal_HCA_Pancreas	CCL19_CCL21 positive cells	Mesenchymal stem cell	CL:0000134	Pancreas	UBERON:0001264
Fetal_HCA_Pancreas_Ductal cells	Fetal	Digestive system	Fetal_HCA_Pancreas	Ductal cells	Pancreatic ductal cell	CL:0002079	Pancreas	UBERON:0001264
Fetal_HCA_Pancreas_ENS glia	Fetal	Digestive system	Fetal_HCA_Pancreas	ENS glia	Glial cell	CL:0000125	Pancreas	UBERON:0001264
Fetal_HCA_Pancreas_ENS neurons	Fetal	Digestive system	Fetal_HCA_Pancreas	ENS neurons	Neuron	CL:0000540	Pancreas	UBERON:0001264
Fetal_HCA_Pancreas_Erythroblasts	Fetal	Digestive system	Fetal_HCA_Pancreas	Erythroblasts	Erythroblast	CL:0000765	Pancreas	UBERON:0001264
Fetal_HCA_Pancreas_Islet endocrine cells	Fetal	Digestive system	Fetal_HCA_Pancreas	Islet endocrine cells	Endocrine cell	CL:0000163	Pancreas	UBERON:0001264
Fetal_HCA_Pancreas_Lymphatic endothelial cells	Fetal	Digestive system	Fetal_HCA_Pancreas	Lymphatic endothelial cells	Endothelial cell	CL:0000115	Pancreas	UBERON:0001264
Fetal_HCA_Pancreas_Lymphoid cells	Fetal	Digestive system	Fetal_HCA_Pancreas	Lymphoid cells	Innate lymphoid cell	CL:0001065	Pancreas	UBERON:0001264
Fetal_HCA_Pancreas_Mesothelial cells	Fetal	Digestive system	Fetal_HCA_Pancreas	Mesothelial cells	Mesothelial cell	CL:0000077	Pancreas	UBERON:0001264
Fetal_HCA_Pancreas_Myeloid cells	Fetal	Digestive system	Fetal_HCA_Pancreas	Myeloid cells	Myeloid cell	CL:0000763	Pancreas	UBERON:0001264
Fetal_HCA_Pancreas_Smooth muscle cells	Fetal	Digestive system	Fetal_HCA_Pancreas	Smooth muscle cells	Smooth muscle cell	CL:0000192	Pancreas	UBERON:0001264
Fetal_HCA_Pancreas_Stromal cells	Fetal	Digestive system	Fetal_HCA_Pancreas	Stromal cells	Stromal cell	CL:0000499	Pancreas	UBERON:0001264
Fetal_HCA_Pancreas_Vascular endothelial cells	Fetal	Digestive system	Fetal_HCA_Pancreas	Vascular endothelial cells	Endothelial cell	CL:0000115	Pancreas	UBERON:0001264
Fetal_HCA_Placenta_AFP_ALB positive cells	Fetal	Reproductive system	Fetal_HCA_Placenta	AFP_ALB positive cells	Hepatocyte	CL:0000182	Placenta	UBERON:0001987
Fetal_HCA_Placenta_Extravillous trophoblasts	Fetal	Reproductive system	Fetal_HCA_Placenta	Extravillous trophoblasts	Trophoblast cell	CL:0000351	Placenta	UBERON:0001987
Fetal_HCA_Placenta_IGFBP1_DKK1 positive cells	Fetal	Reproductive system	Fetal_HCA_Placenta	IGFBP1_DKK1 positive cells	Epithelial cell	CL:0000066	Placenta	UBERON:0001987
Fetal_HCA_Placenta_Lymphoid cells	Fetal	Reproductive system	Fetal_HCA_Placenta	Lymphoid cells	Innate lymphoid cell	CL:0001065	Placenta	UBERON:0001987
Fetal_HCA_Placenta_Megakaryocytes	Fetal	Reproductive system	Fetal_HCA_Placenta	Megakaryocytes	Megakaryocyte	CL:0000556	Placenta	UBERON:0001987
Fetal_HCA_Placenta_Myeloid cells	Fetal	Reproductive system	Fetal_HCA_Placenta	Myeloid cells	Myeloid cell	CL:0000763	Placenta	UBERON:0001987
Fetal_HCA_Placenta_PAEP_MECOM positive cells	Fetal	Reproductive system	Fetal_HCA_Placenta	PAEP_MECOM positive cells	Epithelial cell	CL:0000066	Placenta	UBERON:0001987
Fetal_HCA_Placenta_Smooth muscle cells	Fetal	Reproductive system	Fetal_HCA_Placenta	Smooth muscle cells	Smooth muscle cell	CL:0000192	Placenta	UBERON:0001987
Fetal_HCA_Placenta_Stromal cells	Fetal	Reproductive system	Fetal_HCA_Placenta	Stromal cells	Stromal cell	CL:0000499	Placenta	UBERON:0001987
Fetal_HCA_Placenta_Syncytiotrophoblasts and villous cytotrophoblasts	Fetal	Reproductive system	Fetal_HCA_Placenta	Syncytiotrophoblasts and villous cytotrophoblasts	Trophoblast cell	CL:0000351	Placenta	UBERON:0001987
Fetal_HCA_Placenta_Trophoblast giant cells	Fetal	Reproductive system	Fetal_HCA_Placenta	Trophoblast giant cells	Trophoblast cell	CL:0000351	Placenta	UBERON:0001987
Fetal_HCA_Placenta_Vascular endothelial cells	Fetal	Reproductive system	Fetal_HCA_Placenta	Vascular endothelial cells	Endothelial cell	CL:0000115	Placenta	UBERON:0001987
Fetal_HCA_Spleen_AFP_ALB positive cells	Fetal	Lymphatic system	Fetal_HCA_Spleen	AFP_ALB positive cells	Hepatocyte	CL:0000182	Spleen	UBERON:0002106
Fetal_HCA_Spleen_Erythroblasts	Fetal	Lymphatic system	Fetal_HCA_Spleen	Erythroblasts	Erythroblast	CL:0000765	Spleen	UBERON:0002106
Fetal_HCA_Spleen_Lymphoid cells	Fetal	Lymphatic system	Fetal_HCA_Spleen	Lymphoid cells	Innate lymphoid cell	CL:0001065	Spleen	UBERON:0002106
Fetal_HCA_Spleen_Megakaryocytes	Fetal	Lymphatic system	Fetal_HCA_Spleen	Megakaryocytes	Megakaryocyte	CL:0000556	Spleen	UBERON:0002106
Fetal_HCA_Spleen_Mesothelial cells	Fetal	Lymphatic system	Fetal_HCA_Spleen	Mesothelial cells	Mesothelial cell	CL:0000077	Spleen	UBERON:0002106
Fetal_HCA_Spleen_Myeloid cells	Fetal	Lymphatic system	Fetal_HCA_Spleen	Myeloid cells	Myeloid cell	CL:0000763	Spleen	UBERON:0002106
Fetal_HCA_Spleen_STC2_TLX1 positive cells	Fetal	Lymphatic system	Fetal_HCA_Spleen	STC2_TLX1 positive cells	Mesenchymal stem cell	CL:0000134	Spleen	UBERON:0002106
Fetal_HCA_Spleen_Stromal cells	Fetal	Lymphatic system	Fetal_HCA_Spleen	Stromal cells	Stromal cell	CL:0000499	Spleen	UBERON:0002106
Fetal_HCA_Spleen_Vascular endothelial cells	Fetal	Lymphatic system	Fetal_HCA_Spleen	Vascular endothelial cells	Endothelial cell	CL:0000115	Spleen	UBERON:0002106
Fetal_HCA_Stomach_Ciliated epithelial cells	Fetal	Digestive system	Fetal_HCA_Stomach	Ciliated epithelial cells	Ciliated cell	CL:0000064	Stomach	UBERON:0000945
Fetal_HCA_Stomach_ENS glia	Fetal	Digestive system	Fetal_HCA_Stomach	ENS glia	Glial cell	CL:0000125	Stomach	UBERON:0000945
Fetal_HCA_Stomach_ENS neurons	Fetal	Digestive system	Fetal_HCA_Stomach	ENS neurons	Neuron	CL:0000540	Stomach	UBERON:0000945
Fetal_HCA_Stomach_Erythroblasts	Fetal	Digestive system	Fetal_HCA_Stomach	Erythroblasts	Erythroblast	CL:0000765	Stomach	UBERON:0000945
Fetal_HCA_Stomach_Goblet cells	Fetal	Digestive system	Fetal_HCA_Stomach	Goblet cells	Goblet cell	CL:0000160	Stomach	UBERON:0000945
Fetal_HCA_Stomach_Lymphatic endothelial cells	Fetal	Digestive system	Fetal_HCA_Stomach	Lymphatic endothelial cells	Epithelial cell	CL:0000066	Stomach	UBERON:0000945
Fetal_HCA_Stomach_Lymphoid cells	Fetal	Digestive system	Fetal_HCA_Stomach	Lymphoid cells	Innate lymphoid cell	CL:0001065	Stomach	UBERON:0000945
Fetal_HCA_Stomach_Mesothelial cells	Fetal	Digestive system	Fetal_HCA_Stomach	Mesothelial cells	Mesothelial cell	CL:0000077	Stomach	UBERON:0000945
Fetal_HCA_Stomach_MUC13_DMBT1 positive cells	Fetal	Digestive system	Fetal_HCA_Stomach	MUC13_DMBT1 positive cells	Epithelial cell	CL:0000066	Stomach	UBERON:0000945
