Tissue_cell_type_name	Developmental_stage	Organ_system	Tissue	Specific_cell_type	General_cell_type	Cell_Ontology_ID	General_tissue_name	Uber_anatomy_ontology_ID	input_list_raw_p	input_list_permutated_p	input_list_rank_p	input_list_combined_p	input_list_combined_log10p
AdultArtery_B cell (Plasmocyte)	Adult	Cardiovascular system	AdultArtery	B cell (Plasmocyte)	B cell	CL:0000236	Artery	UBERON:0001637	0.931389565547696	0.789506851969105	0.847232472324723	0.937876868831017	0.0278541751575967
AdultUreter_B cell (Plasmocyte)	Adult	Urinary system	AdultUreter	B cell (Plasmocyte)	B cell	CL:0000236	Uterus	UBERON:0000995	0.941539060590463	0.774099635613546	0.868634686346863	0.939280709653867	0.0272045968339821
Madissoon_2020_lung_T_CD4	Adult	Respiratory system	Madissoon_2020_lung	T_CD4	T cell	CL:0000084	Lung	UBERON:0002048	0.926500436552	0.801175250489048	0.841328413284133	0.939930280247788	0.0269043591945707
Madissoon_2020_lung_B_cell_mature	Adult	Respiratory system	Madissoon_2020_lung	B_cell_mature	B cell	CL:0000236	Lung	UBERON:0002048	0.926500436552	0.801914796874115	0.841328413284133	0.940175419730536	0.0267911073436151
AdultLung_B cell (Plasmocyte)	Adult	Respiratory system	AdultLung	B cell (Plasmocyte)	B cell	CL:0000236	Lung	UBERON:0002048	0.940913302844432	0.778372570282821	0.866789667896679	0.940179983767165	0.0267889990869318
Madissoon_2020_lung_DC_plasmacytoid	Adult	Respiratory system	Madissoon_2020_lung	DC_plasmacytoid	Plasmacytoid dendritic cell	CL:0000784	Lung	UBERON:0002048	0.926500436552	0.802202398246085	0.841328413284133	0.940270596758337	0.0267471445202734
Madissoon_2020_lung_T_cells_Dividing	Adult	Respiratory system	Madissoon_2020_lung	T_cells_Dividing	T cell	CL:0000084	Lung	UBERON:0002048	0.926500436552	0.802202398246085	0.841328413284133	0.940270596758337	0.0267471445202734
CordBlood_Dendritic cell	Neonatal	Reproductive system	CordBlood	Dendritic cell	Dendritic cell	CL:0000451	Umbilical cord blood	UBERON:0012168	0.962804586276151	0.758897848809395	0.892988929889299	0.94135465839621	0.0262467238991407
FetalLiver_T cell	Fetal	Digestive system	FetalLiver	T cell	T cell	CL:0000084	Liver	UBERON:0002107	0.94373555150405	0.774551580626643	0.875276752767528	0.941455616654568	0.0262001492493945
FetalLiver_B cell	Fetal	Digestive system	FetalLiver	B cell	B cell	CL:0000236	Liver	UBERON:0002107	0.94373555150405	0.775373298832273	0.875276752767528	0.941734790361332	0.0260713852106902
MacParland_2018_liver_Stellate cell	Adult	Digestive system	MacParland_2018_liver	Stellate cell	Hepatic stellate cell	CL:0000632	Liver	UBERON:0002107	0.938176831441472	0.795094535767388	0.854243542435424	0.941943177754858	0.0259752950116142
FetalLiver_CB CD34+	Fetal	Digestive system	FetalLiver	CB CD34+	Hematopoietic stem cell	CL:0000037	Liver	UBERON:0002107	0.94373555150405	0.776153931127621	0.875276752767528	0.941999299363837	0.0259494202246731
TS_Eye_t cell	Adult	Sensory system	TS_Eye	t cell	T cell	CL:0000084	Eye	UBERON:0000970	0.941640110045299	0.780796638989429	0.870110701107011	0.942010904435457	0.0259440699154693
MacParland_2018_liver_Endothelial cell	Adult	Digestive system	MacParland_2018_liver	Endothelial cell	Endothelial cell	CL:0000115	Liver	UBERON:0002107	0.938176831441472	0.796121683524425	0.854243542435424	0.942282031977391	0.0258190902014438
TS_Bladder_nk cell	Adult	Urinary system	TS_Bladder	nk cell	Natural killer cell	CL:0000623	Bladder organ	UBERON:0018707	0.93549404421819	0.803845834657345	0.848708487084871	0.943107160827521	0.0254389576211611
AdultSigmoidColon_B cell	Adult	Digestive system	AdultSigmoidColon	B cell	B cell	CL:0000236	Sigmoid colon	UBERON:0001159	0.950491682489506	0.77750976616691	0.87970479704797	0.943773446089274	0.0251322460851805
FetalSkin_Smooth muscle cell	Fetal	Integumentary system	FetalSkin	Smooth muscle cell	Smooth muscle cell	CL:0000192	Skin of body	UBERON:0002097	0.94131524164686	0.788397532391505	0.86789667896679	0.943875388213761	0.0250853380995672
van_Zyl_eye_2020_CiliaryMuscle	Adult	Sensory system	van_Zyl_eye_2020	CiliaryMuscle	Muscle cell	CL:0000187	Eye	UBERON:0000970	0.938781133437231	0.799449642257225	0.856088560885609	0.943933081040658	0.0250587933766436
TS_Thymus_b cell	Adult	Lymphatic system	TS_Thymus	b cell	B cell	CL:0000236	Thymus	UBERON:0002370	0.937702085688781	0.803928006477908	0.851660516605166	0.944036948632515	0.0250110075311815
TS_Thymus_nk cell	Adult	Lymphatic system	TS_Thymus	nk cell	Natural killer cell	CL:0000623	Thymus	UBERON:0002370	0.937702085688781	0.803928006477908	0.851660516605166	0.944036948632515	0.0250110075311815
TS_Thymus_memory b cell	Adult	Lymphatic system	TS_Thymus	memory b cell	B cell	CL:0000236	Thymus	UBERON:0002370	0.937702085688781	0.803928006477908	0.851660516605166	0.944036948632515	0.0250110075311815
TS_Skin_cd4-positive helper t cells	Adult	Integumentary system	TS_Skin	cd4-positive helper t cells	T cell	CL:0000084	Skin of body	UBERON:0002097	0.937735785480106	0.803352803733967	0.853136531365314	0.944300204581926	0.0248899162242573
Braga_2020_lung_NK cell	Adult	Respiratory system	Braga_2020_lung	NK cell	Natural killer cell	CL:0000623	Lung	UBERON:0002048	0.950625971078536	0.780796638989429	0.880442804428044	0.945081804189997	0.0245305982942355
TS_Blood_cd8-positive, alpha-beta cytokine secreting effector t cell	Adult	Lymphatic system	TS_Blood	cd8-positive, alpha-beta cytokine secreting effector t cell	T cell	CL:0000084	Blood	UBERON:0000178	0.93962877800611	0.803928006477908	0.857564575645756	0.945818546228541	0.0241921743069049
AdultLung_B cell	Adult	Respiratory system	AdultLung	B cell	B cell	CL:0000236	Lung	UBERON:0002048	0.940913302844432	0.796203855344988	0.866789667896679	0.946086347850219	0.0240692243978685
TS_Lung_nk cell	Adult	Respiratory system	TS_Lung	nk cell	Natural killer cell	CL:0000623	Lung	UBERON:0002048	0.939642455440618	0.803928006477908	0.858671586715867	0.946148951021032	0.0240404877902596
TS_Lung_b cell	Adult	Respiratory system	TS_Lung	b cell	B cell	CL:0000236	Lung	UBERON:0002048	0.939642455440618	0.803969092388189	0.858671586715867	0.946162025134322	0.0240344866463363
