Tissue_cell_type_name	Developmental_stage	Organ_system	Tissue	Specific_cell_type	General_cell_type	Cell_Ontology_ID	General_tissue_name	Uber_anatomy_ontology_ID	input_list_raw_p	input_list_permutated_p	input_list_rank_p	input_list_combined_p	input_list_combined_log10p
TS_Liver_hepatocyte	Adult	Digestive system	TS_Liver	hepatocyte	Hepatocyte	CL:0000182	Liver	UBERON:0002107	6.00546169765169e-111	4.10859102814896e-05	0.000738007380073801	5.55232930965488e-07	6.2555247837051
MacParland_2018_liver_Hepatocyte	Adult	Digestive system	MacParland_2018_liver	Hepatocyte	Hepatocyte	CL:0000182	Liver	UBERON:0002107	1.7901998544463e-95	4.10859102814896e-05	0.0014760147601476	1.06843105329713e-06	5.97125349796291
Fetal_HCA_Liver_Hepatoblasts	Fetal	Digestive system	Fetal_HCA_Liver	Hepatoblasts	Hepatoblast	CL:0005026	Liver	UBERON:0002107	6.22406051700934e-64	4.10859102814896e-05	0.0022140221402214	1.5657633998245e-06	5.80527386291266
AdultLiver_Sinusoidal endothelial cell	Adult	Digestive system	AdultLiver	Sinusoidal endothelial cell	Endothelial cell	CL:0000115	Liver	UBERON:0002107	4.22034852989773e-59	4.10859102814896e-05	0.0029520295202952	2.05279248932655e-06	5.68765494994518
Fetal_HCA_Spleen_AFP_ALB positive cells	Fetal	Lymphatic system	Fetal_HCA_Spleen	AFP_ALB positive cells	Hepatocyte	CL:0000182	Spleen	UBERON:0002106	2.16737907757383e-39	4.10859102814896e-05	0.003690036900369	2.5321601470063e-06	5.59650883073932
Fetal_HCA_Placenta_AFP_ALB positive cells	Fetal	Reproductive system	Fetal_HCA_Placenta	AFP_ALB positive cells	Hepatocyte	CL:0000182	Placenta	UBERON:0001987	4.2319810364458e-37	4.10859102814896e-05	0.0044280442804428	3.00542237363643e-06	5.52209448484284
AdultKidney_Epithelial cell	Adult	Urinary system	AdultKidney	Epithelial cell	Epithelial cell	CL:0000066	Kidney	UBERON:0002113	3.90364131437853e-23	4.10859102814896e-05	0.00811808118081181	5.30777123697312e-06	5.27508780333985
AdultJeJunum_Enterocyte	Adult	Digestive system	AdultJeJunum	Enterocyte	Enterocyte	CL:0000584	Jejunum	UBERON:0002115	4.95689700548514e-20	4.10859102814896e-05	0.011070110701107	7.09680347499297e-06	5.14893722110729
AdultGallbladder_Goblet cell	Adult	Digestive system	AdultGallbladder	Goblet cell	Goblet cell	CL:0000160	Gall bladder	UBERON:0002110	3.95260762509912e-19	4.10859102814896e-05	0.0125461254612546	7.97852622014261e-06	5.09807732338246
FetalAdrenalGland_Hepatocyte/Endodermal cell	Fetal	Endocrine system	FetalAdrenalGland	Hepatocyte/Endodermal cell	Hepatocyte	CL:0000182	Adrenal gland	UBERON:0002369	2.46601921315617e-18	4.10859102814896e-05	0.0140221402214022	8.85309789655508e-06	5.05290473337457
AdultIleum_Enterocyte	Adult	Digestive system	AdultIleum	Enterocyte	Enterocyte	CL:0000584	Ileum	UBERON:0002116	1.1562330781444e-17	4.10859102814896e-05	0.014760147601476	9.28794441468206e-06	5.03208039237253
AdultDuodenum_Enterocyte	Adult	Digestive system	AdultDuodenum	Enterocyte	Enterocyte	CL:0000584	Duodenum	UBERON:0002114	2.88455909340448e-16	4.10859102814896e-05	0.0154981549815498	9.72127421516866e-06	5.01227680623139
FetalKidney_Proximal tubule progenitor	Fetal	Urinary system	FetalKidney	Proximal tubule progenitor	Epithelial cell of proximal tubule	CL:0002306	Kidney	UBERON:0002113	5.20886648453946e-16	4.10859102814896e-05	0.0162361623616236	1.01531595786408e-05	4.99339878789461
FetalIntestine_Hepatocyte/Endodermal cell	Fetal	Digestive system	FetalIntestine	Hepatocyte/Endodermal cell	Hepatocyte	CL:0000182	Intestine	UBERON:0000160	5.73098270034917e-16	4.10859102814896e-05	0.0169741697416974	1.05836662079861e-05	4.9753638655624
Fetal_HCA_Stomach_MUC13_DMBT1 positive cells	Fetal	Digestive system	Fetal_HCA_Stomach	MUC13_DMBT1 positive cells	Epithelial cell	CL:0000066	Stomach	UBERON:0000945	2.253906085203e-11	4.10859102814896e-05	0.0228782287822878	1.39843661040029e-05	4.85435721493943
AdultPancreas_Enterocyte progenitor	Adult	Digestive system	AdultPancreas	Enterocyte progenitor	Enterocyte	CL:0000584	Pancreas	UBERON:0001264	5.14088938017029e-11	4.10859102814896e-05	0.0265682656826568	1.60766829674364e-05	4.79380355244961
AdultBladder_Epithelial cell (intermediated)	Adult	Urinary system	AdultBladder	Epithelial cell (intermediated)	Epithelial cell	CL:0000066	Bladder organ	UBERON:0018707	6.36416924772453e-10	4.10859102814896e-05	0.0383763837638376	2.26420731975763e-05	4.64508380994645
Madissoon_2020_lung_Alveolar_Type2	Adult	Respiratory system	Madissoon_2020_lung	Alveolar_Type2	Alveolar capillary type 2 endothelial cell	CL:4028003	Lung	UBERON:0002048	4.05967353751387e-13	8.21718205629793e-05	0.0214022140221402	2.50625757993728e-05	4.60097429655147
FetalAdrenalGland_Fetal enterocyte	Fetal	Endocrine system	FetalAdrenalGland	Fetal enterocyte	Enterocyte	CL:0000584	Adrenal gland	UBERON:0002369	6.74243900391329e-09	4.10859102814896e-05	0.0450184501845018	2.62656378093862e-05	4.58061204874499
TS_Small_Intestine_mature enterocyte	Adult	Digestive system	TS_Small_Intestine	mature enterocyte	Enterocyte	CL:0000584	Small intestine	UBERON:0002108	1.92733479524594e-08	4.10859102814896e-05	0.0468634686346863	2.72647615432442e-05	4.56439829628657
FetalStomach_Fetal enterocyte	Fetal	Digestive system	FetalStomach	Fetal enterocyte	Enterocyte	CL:0000584	Stomach	UBERON:0000945	5.91218525556759e-08	4.10859102814896e-05	0.0531365313653137	3.06401128228329e-05	4.51370963988005
AdultUterus_Loop of Henle	Adult	Reproductive system	AdultUterus	Loop of Henle	Kidney loop of Henle epithelial cell	CL:1000909	Uterus	UBERON:0000995	1.97739370856514e-07	4.10859102814896e-05	0.0612546125461255	3.49634304194213e-05	4.4563859633621
AdultLung_Stratified epithelial cell	Adult	Respiratory system	AdultLung	Stratified epithelial cell	Epithelial cell	CL:0000066	Lung	UBERON:0002048	4.27464385855189e-07	4.10859102814896e-05	0.0708487084870849	4.00160747139333e-05	4.39776551474245
FetalKidney_Intermediated cell	Fetal	Urinary system	FetalKidney	Intermediated cell	Kidney cell	CL:1000497	Kidney	UBERON:0002113	2.30675193058545e-06	4.10859102814896e-05	0.0797047970479705	4.46323747473887e-05	4.35035000510997
FetalStomach_Goblet cell	Fetal	Digestive system	FetalStomach	Goblet cell	Goblet cell	CL:0000160	Stomach	UBERON:0000945	2.43389282221355e-09	8.21718205629793e-05	0.040590405904059	4.53976987170313e-05	4.3429661616765
TS_Heart_hepatocyte	Adult	Cardiovascular system	TS_Heart	hepatocyte	Hepatocyte	CL:0000182	Heart	UBERON:0000948	1.28981890832557e-32	0.000780632295348303	0.00516605166051661	5.41242445799561e-05	4.26660815210825
TS_Trachea_tracheal goblet cell	Adult	Respiratory system	TS_Trachea	tracheal goblet cell	Goblet cell	CL:0000160	Trachea	UBERON:0003126	2.05580535520476e-10	0.000123257730844469	0.0328413284132841	5.43125298689828e-05	4.26509996736849
Braga_2020_lung_Alveolar cells type 2	Adult	Respiratory system	Braga_2020_lung	Alveolar cells type 2	Alveolar capillary type 2 endothelial cell	CL:4028003	Lung	UBERON:0002048	6.75600258423962e-07	8.21718205629793e-05	0.0738007380073801	7.89157829589326e-05	4.10283613029514
Fetal_HCA_Intestine_Intestinal epithelial cells	Fetal	Digestive system	Fetal_HCA_Intestine	Intestinal epithelial cells	Epithelial cell	CL:0000066	Intestine	UBERON:0000160	8.9988007375822e-11	0.000287601371970427	0.0280442804428044	0.000102657859607169	3.98860779492121
Madissoon_2020_lung_Secretory_club	Adult	Respiratory system	Madissoon_2020_lung	Secretory_club	Club cell	CL:0000158	Lung	UBERON:0002048	3.31100380858714e-10	0.000246515461688938	0.0376383763837638	0.000116795326023933	3.93257453669819
AdultLung_AT2 cell	Adult	Respiratory system	AdultLung	AT2 cell	Alveolar capillary type 2 endothelial cell	CL:4028003	Lung	UBERON:0002048	4.29212672653654e-09	0.000410859102814896	0.0420664206642066	0.000206808777806322	3.68443103196133
AdultTrachea_Chondrocyte	Adult	Respiratory system	AdultTrachea	Chondrocyte	Chondrocyte	CL:0000138	Trachea	UBERON:0003126	2.56276695383522e-07	0.000287601371970427	0.0627306273062731	0.000215104909713215	3.66734967684163
TS_Trachea_mucus secreting cell	Adult	Respiratory system	TS_Trachea	mucus secreting cell	Mucus secreting cell	CL:0000319	Trachea	UBERON:0003126	1.17798768216655e-06	0.000246515461688938	0.0763837638376384	0.000223699108440334	3.65033574679391
FetalRib_Fetal chondrocyte	Fetal	Skeletal system	FetalRib	Fetal chondrocyte	Chondrocyte	CL:0000138	Rib	UBERON:0002228	1.81606259969596e-05	0.000205429551407448	0.104059040590406	0.00025124592026482	3.59990098159478
AdultDuodenum_Goblet cell	Adult	Digestive system	AdultDuodenum	Goblet cell	Goblet cell	CL:0000160	Duodenum	UBERON:0002114	1.06151999594137e-05	0.000287601371970427	0.0944649446494465	0.000312800577297656	3.5047324540874
TS_Small_Intestine_intestinal crypt stem cell	Adult	Digestive system	TS_Small_Intestine	intestinal crypt stem cell	Intestinal crypt stem cell	CL:0002250	Small intestine	UBERON:0002108	1.28635298063601e-15	0.00225972506548193	0.0180811808118081	0.000453749784065427	3.34318356863179
van_Zyl_eye_2020_CribiformJCT	Adult	Sensory system	van_Zyl_eye_2020	CribiformJCT	Trabecular meshwork cell	CL:0002367	Eye	UBERON:0000970	3.70972084148694e-07	0.000657374564503834	0.0697416974169742	0.000503861921090087	3.29768846181756
AdultCervix_Stratified epithelial cell	Adult	Reproductive system	AdultCervix	Stratified epithelial cell	Epithelial cell	CL:0000066	Uterine cervix	UBERON:0000002	1.25122470507085e-07	0.000780632295348303	0.0597785977859779	0.000512033502789166	3.29070162183581
NeonatalAdrenalGland_Adrenal gland inflammatory cell	Neonatal	Endocrine system	NeonatalAdrenalGland	Adrenal gland inflammatory cell	Inflammatory cell	CL:0009002	Adrenal gland	UBERON:0002369	5.64249039991042e-06	0.000534116833659365	0.0900369003690037	0.000526223990268915	3.27882935654695
FetalPancreas_Fetal acinar cell	Fetal	Digestive system	FetalPancreas	Fetal acinar cell	Acinar cell	CL:0000622	Pancreas	UBERON:0001264	2.39093150166907e-07	0.000944975936474262	0.0619926199261993	0.000629463916210993	3.20102916061507
AdultThyroid_Stromal cell	Adult	Endocrine system	AdultThyroid	Stromal cell	Stromal cell	CL:0000499	Thyroid gland	UBERON:0002046	6.64823147023511e-06	0.000986061846755751	0.0907749077490775	0.000923844003739016	3.03440135565745
AdultEsophagus_Stratified epithelial cell	Adult	Digestive system	AdultEsophagus	Stratified epithelial cell	Epithelial cell	CL:0000066	Esophagus	UBERON:0001043	8.40503009168615e-06	0.000986061846755751	0.0915129151291513	0.000930624259447899	3.03122563049711
TS_Large_Intestine_mature enterocyte	Adult	Digestive system	TS_Large_Intestine	mature enterocyte	Enterocyte	CL:0000584	Large intestine	UBERON:0000059	0.000143638290978704	0.000821718205629793	0.123247232472325	0.00103276447993561	2.98599870725716
Fetal_HCA_Pancreas_Ductal cells	Fetal	Digestive system	Fetal_HCA_Pancreas	Ductal cells	Pancreatic ductal cell	CL:0002079	Pancreas	UBERON:0001264	8.5125942648315e-06	0.00127366321872618	0.0922509225092251	0.00118073528185036	2.92784745930283
NeonatalAdrenalGland_Fasciculata cell	Neonatal	Endocrine system	NeonatalAdrenalGland	Fasciculata cell	Type II cell of adrenal cortex	CL:0002136	Adrenal gland	UBERON:0002369	2.46309125894899e-05	0.00127366321872618	0.105535055350554	0.00133267804201598	2.87527475791129
Fetal_HCA_Pancreas_Acinar cells	Fetal	Digestive system	Fetal_HCA_Pancreas	Acinar cells	Acinar cell	CL:0000622	Pancreas	UBERON:0001264	4.89035766767694e-07	0.00188995187294852	0.0715867158671587	0.00134051401612467	2.87272864076817
van_Zyl_eye_2020_BeamCella	Adult	Sensory system	van_Zyl_eye_2020	BeamCella	Beam A cell	NA	Eye	UBERON:0000970	3.70972084148694e-07	0.00221863915520044	0.0697416974169742	0.00151231911515237	2.82035655848642
TS_Small_Intestine_enterocyte of epithelium of small intestine	Adult	Digestive system	TS_Small_Intestine	enterocyte of epithelium of small intestine	Enterocyte	CL:0000584	Small intestine	UBERON:0002108	2.69632734656342e-27	0.0239530856941085	0.00664206642066421	0.00155056742674775	2.80950934362996
Braga_2020_lung_Transformed epithelium	Adult	Respiratory system	Braga_2020_lung	Transformed epithelium	Epithelial cell	CL:0000066	Lung	UBERON:0002048	0.00020615720045615	0.00123257730844469	0.13210332103321	0.00158314283063976	2.80047990146081
AdultTransverseColon_Epithelial cell	Adult	Digestive system	AdultTransverseColon	Epithelial cell	Epithelial cell	CL:0000066	Transverse colon	UBERON:0001157	5.46211877227255e-08	0.00320470100195619	0.0523985239852399	0.0016274984097856	2.78847942710489
Fetal_HCA_Stomach_Neuroendocrine cells	Fetal	Digestive system	Fetal_HCA_Stomach	Neuroendocrine cells	Epithelial cell	CL:0000066	Stomach	UBERON:0000945	1.13798128406675e-05	0.00188995187294852	0.0959409594095941	0.00174346931277813	2.75858569234215
AdultStomach_Fetal endocrine cell	Adult	Digestive system	AdultStomach	Fetal endocrine cell	Endocrine cell	CL:0000163	Stomach	UBERON:0000945	1.1347252262744e-05	0.00201320960379299	0.0952029520295203	0.00183225882573224	2.73701317769458
TS_Eye_lacrimal gland functional unit cell	Adult	Sensory system	TS_Eye	lacrimal gland functional unit cell	Epithelial cell	CL:0000066	Eye	UBERON:0000970	0.000451167220363627	0.00127366321872618	0.150553505535055	0.00183303744455188	2.73682866335412
Enge_2017_Pancreas_acinar cell	Adult	Digestive system	Enge_2017_Pancreas	acinar cell	Acinar cell	CL:0000622	Pancreas	UBERON:0001264	7.61896491096396e-08	0.00349230237392662	0.0571955719557196	0.00190126004680891	2.72095847799502
AdultStomach_Stromal cell	Adult	Digestive system	AdultStomach	Stromal cell	Stromal cell	CL:0000499	Stomach	UBERON:0000945	4.03601195340752e-05	0.00205429551407448	0.108487084870849	0.00209692044559007	2.67841804578484
van_Zyl_eye_2020_BeamCellb	Adult	Sensory system	van_Zyl_eye_2020	BeamCellb	Beam B cell	NA	Eye	UBERON:0000970	1.5561110093908e-06	0.00283492780942279	0.0789667896678967	0.00210533233125554	2.67667934009507
TS_Small_Intestine_immature enterocyte	Adult	Digestive system	TS_Small_Intestine	immature enterocyte	Enterocyte	CL:0000584	Small intestine	UBERON:0002108	2.33535652861943e-31	0.0394013879599486	0.00590405904059041	0.00217881113017648	2.66178041485573
TS_Liver_intrahepatic cholangiocyte	Adult	Digestive system	TS_Liver	intrahepatic cholangiocyte	Intrahepatic cholangiocyte	CL:0002538	Liver	UBERON:0002107	4.15133650333743e-11	0.0108466803143133	0.0247232472324723	0.00247353062247946	2.60668270867092
TS_Trachea_secretory cell	Adult	Respiratory system	TS_Trachea	secretory cell	Endocrine cell	CL:0000163	Trachea	UBERON:0003126	2.05580535520476e-10	0.00817609614601644	0.0328413284132841	0.00247639806918631	2.60617954327247
AdultEpityphlon_Enterocyte progenitor	Adult	Digestive system	AdultEpityphlon	Enterocyte progenitor	Enterocyte	CL:0000584	Caecum	UBERON:0001153	0.000161445881238494	0.00217755324491895	0.129151291512915	0.00258069264032446	2.58826371671135
FetalAdrenalGland_Fasciculata cell	Fetal	Endocrine system	FetalAdrenalGland	Fasciculata cell	Type II cell of adrenal cortex	CL:0002136	Adrenal gland	UBERON:0002369	2.83575247335042e-05	0.0027938418991413	0.106273062730627	0.00270843831658141	2.56728105081828
Fetal_HCA_Stomach_Parietal and chief cells	Fetal	Digestive system	Fetal_HCA_Stomach	Parietal and chief cells	Epithelial cell	CL:0000066	Stomach	UBERON:0000945	0.00054358928211957	0.00221863915520044	0.154243542435424	0.0030730813075337	2.51242594903549
FetalCalvaria_Fetal chondrocyte	Fetal	Skeletal system	FetalCalvaria	Fetal chondrocyte	Chondrocyte	CL:0000138	Vault of skull	UBERON:0004339	0.00240882362648827	0.00213646733463746	0.185239852398524	0.00349641323007521	2.45637724510632
TS_Uterus_epithelial cell of uterus	Adult	Reproductive system	TS_Uterus	epithelial cell of uterus	Epithelial cell	CL:0000066	Uterus	UBERON:0000995	6.89650914797354e-08	0.00743654976094962	0.0546125461254613	0.00357752461511907	2.44641736939946
AdultAdrenalGland_Stromal cell	Adult	Endocrine system	AdultAdrenalGland	Stromal cell	Stromal cell	CL:0000499	Adrenal gland	UBERON:0002369	5.74228807573086e-05	0.00365664601505258	0.114022140221402	0.00366179313913806	2.43630619336812
AdultTrachea_Stratified epithelial cell	Adult	Respiratory system	AdultTrachea	Stratified epithelial cell	Epithelial cell	CL:0000066	Trachea	UBERON:0003126	1.94349312154207e-05	0.00468379377208982	0.10479704797048	0.00423080167164092	2.37357733272372
MacParland_2018_liver_Cholangiocytes	Adult	Digestive system	MacParland_2018_liver	Cholangiocytes	Cholangiocyte	CL:1000488	Liver	UBERON:0002107	0.000126490260589989	0.00443727831040088	0.118081180811808	0.00448199664541205	2.34852847285218
AdultRectum_Epithelial cell	Adult	Digestive system	AdultRectum	Epithelial cell	Epithelial cell	CL:0000066	Rectum	UBERON:0001052	0.000206632429208478	0.00414967693843045	0.132841328413284	0.00468744579756608	2.32906374112109
TS_Small_Intestine_intestinal crypt stem cell of small intestine	Adult	Digestive system	TS_Small_Intestine	intestinal crypt stem cell of small intestine	Intestinal crypt stem cell	CL:0002250	Small intestine	UBERON:0002108	2.17859861419105e-24	0.0806105559722827	0.00738007380073801	0.00501338006988605	2.29986936979402
AdultBladder_Fibroblast	Adult	Urinary system	AdultBladder	Fibroblast	Fibroblast	CL:0000057	Bladder organ	UBERON:0018707	0.000101446759037634	0.00608071472166047	0.117343173431734	0.00588326159762498	2.23038184039733
FetalPancreas_Fetal epithelial progenitor	Fetal	Digestive system	FetalPancreas	Fetal epithelial progenitor	Epithelial fate stem cell	CL:0000036	Pancreas	UBERON:0001264	0.000165025920008708	0.00562876970856408	0.129889298892989	0.00601046648451176	2.22109182021234
Madissoon_2020_lung_Alveolar_Type1	Adult	Respiratory system	Madissoon_2020_lung	Alveolar_Type1	Alveolar capillary type 2 endothelial cell	CL:4028003	Lung	UBERON:0002048	5.3150085901684e-07	0.0101893057498094	0.0723247232472325	0.00605248198294916	2.21806649469373
AdultStomach_Goblet cell	Adult	Digestive system	AdultStomach	Goblet cell	Goblet cell	CL:0000160	Stomach	UBERON:0000945	3.00601932807377e-06	0.00920324390305368	0.0811808118081181	0.00612589865389856	2.21283019238362
TS_Liver_erythrocyte	Adult	Digestive system	TS_Liver	erythrocyte	Erythrocyte	CL:0000232	Liver	UBERON:0002107	4.15133650333743e-11	0.0312252918139321	0.0247232472324723	0.0063044907802503	2.20034998605496
AdultAscendingColon_Enterocyte progenitor	Adult	Digestive system	AdultAscendingColon	Enterocyte progenitor	Enterocyte	CL:0000584	Ascending colon	UBERON:0001156	0.00125893329491943	0.00451945013096386	0.176383763837638	0.00648444531722314	2.18812716776372
AdultUterus_Stromal cell	Adult	Reproductive system	AdultUterus	Stromal cell	Stromal cell	CL:0000499	Ureter	UBERON:0000056	0.000330972269869245	0.00616288654222345	0.137269372693727	0.00683126970883108	2.16549856772555
Voigt_2019_retina_2_Schwann cell	Adult	Sensory system	Voigt_2019_retina_2	Schwann cell	Schwann cell	CL:0002573	Retina	UBERON:0000966	2.85245513322881e-05	0.0079295806843275	0.107011070110701	0.0068495005538397	2.16434109487536
Segerstolpe_2016_PancreaticIslets_acinar cell	Adult	Digestive system	Segerstolpe_2016_PancreaticIslets	acinar cell	Acinar cell	CL:0000622	Pancreas	UBERON:0001264	7.57910558056346e-08	0.0154072163555586	0.0560885608856089	0.0069597914753563	2.15740377223696
AdultTransverseColon_Enterocyte	Adult	Digestive system	AdultTransverseColon	Enterocyte	Enterocyte	CL:0000584	Transverse colon	UBERON:0001157	3.8806384513166e-06	0.0113397112376911	0.0833948339483395	0.00753097680996684	2.12314868971361
TS_Small_Intestine_transit amplifying cell of small intestine	Adult	Digestive system	TS_Small_Intestine	transit amplifying cell of small intestine	Transit amplifying cell	CL:0009010	Small intestine	UBERON:0002108	1.05100042223894e-20	0.0998387619840198	0.00959409594095941	0.00761578033701726	2.11828559085744
TS_Small_Intestine_small intestine goblet cell	Adult	Digestive system	TS_Small_Intestine	small intestine goblet cell	Goblet cell	CL:0000160	Small intestine	UBERON:0002108	1.28635298063601e-15	0.0549729479566331	0.0180811808118081	0.00786612347891025	2.10423924051101
TS_Small_Intestine_paneth cell of epithelium of small intestine	Adult	Digestive system	TS_Small_Intestine	paneth cell of epithelium of small intestine	Paneth cell	CL:0000510	Small intestine	UBERON:0002108	1.32411463635713e-21	0.11335602646663	0.00885608856088561	0.00793462585882743	2.10047354670088
AdultFallopiantube_Fibroblast	Adult	Reproductive system	AdultFallopiantube	Fibroblast	Fibroblast	CL:0000057	Fallopian tube	UBERON:0003889	0.000445813837602149	0.00682026110672728	0.148339483394834	0.00798860444513283	2.09752908235235
AdultSigmoidColon_Epithelial cell	Adult	Digestive system	AdultSigmoidColon	Epithelial cell	Epithelial cell	CL:0000066	Sigmoid colon	UBERON:0001159	0.00225258577529903	0.00550551197771961	0.183763837638376	0.00798860444513283	2.09752908235235
VentoTormo_2018_decidua_glandular epithelial cell (Epi2)	Maternal-Fetal	Reproductive system	VentoTormo_2018_decidua	glandular epithelial cell (Epi2)	Epithelial cell	CL:0000066	Decidua	UBERON:0002450	3.49050603335851e-07	0.0147909277013363	0.0686346863468635	0.00801243615115899	2.09623541822942
AdultEsophagus_Basal cell	Adult	Digestive system	AdultEsophagus	Basal cell	Basal cell	CL:0000646	Esophagus	UBERON:0001043	0.000378560423327888	0.00747763567123111	0.138745387453875	0.00816601543245732	2.08798980366544
AdultAdrenalGland_Fasciculata cell	Adult	Endocrine system	AdultAdrenalGland	Fasciculata cell	Type II cell of adrenal cortex	CL:0002136	Adrenal gland	UBERON:0002369	5.74228807573086e-05	0.00986061846755752	0.114022140221402	0.00875916129062959	2.05753747651339
TS_Skin_epithelial cell	Adult	Integumentary system	TS_Skin	epithelial cell	Epithelial cell	CL:0000066	Skin of body	UBERON:0002097	0.00038145751189516	0.00821718205629793	0.139852398523985	0.00892772770899741	2.04925906395793
Madissoon_2020_oesophagus_Glands_mucous	Adult	Digestive system	Madissoon_2020_oesophagus	Glands_mucous	Mucus secreting cell	CL:0000319	Esophagus	UBERON:0001043	0.000202010796988492	0.00895672844136474	0.1309963099631	0.00909064115656089	2.04140548521184
Fetal_HCA_Muscle_Schwann cells	Fetal	Muscular system	Fetal_HCA_Muscle	Schwann cells	Schwann cell	CL:0002573	Muscle organ	UBERON:0001630	0.000924611642262935	0.00727220611982367	0.162361623616236	0.00914074687734789	2.03901831723567
AdultLung_Basal cell	Adult	Respiratory system	AdultLung	Basal cell	Basal cell	CL:0000646	Lung	UBERON:0002048	0.00250127128655469	0.0067380892861643	0.185977859778598	0.00962671982548313	2.01652166763817
TS_Small_Intestine_intestinal enteroendocrine cell	Adult	Digestive system	TS_Small_Intestine	intestinal enteroendocrine cell	Endocrine cell	CL:0000163	Small intestine	UBERON:0002108	8.00646164976737e-15	0.0701747347607843	0.0191881918819188	0.0102473707980628	1.98938754869256
Enge_2017_Pancreas_pancreatic ductal cell	Adult	Digestive system	Enge_2017_Pancreas	pancreatic ductal cell	Pancreatic ductal cell	CL:0002079	Pancreas	UBERON:0001264	7.61896491096396e-08	0.0245282884380493	0.0571955719557196	0.0106189122961886	1.97391996611291
AdultHeart_Stromal cell	Adult	Cardiovascular system	AdultHeart	Stromal cell	Stromal cell	CL:0000499	Heart	UBERON:0000948	0.00165771654405257	0.00780632295348303	0.181180811808118	0.0106940597840921	1.9708573923482
Madissoon_2020_lung_Basal	Adult	Respiratory system	Madissoon_2020_lung	Basal	Basal cell	CL:0000646	Lung	UBERON:0002048	0.000241498490392463	0.0113397112376911	0.133579335793358	0.0113492788627593	1.945031732821
TS_Lung_alveolar fibroblast	Adult	Respiratory system	TS_Lung	alveolar fibroblast	Fibroblast	CL:0000057	Lung	UBERON:0002048	1.44802868594151e-05	0.0156126459069661	0.100369003690037	0.011687780238772	1.93226796288364
TS_Lung_type ii pneumocyte	Adult	Respiratory system	TS_Lung	type ii pneumocyte	Pneumocyte	CL:0000322	Lung	UBERON:0002048	1.05610063768782e-20	0.164549070677366	0.0103321033210332	0.0125419959829602	1.90163334265958
TS_Large_Intestine_enterocyte of epithelium of large intestine	Adult	Digestive system	TS_Large_Intestine	enterocyte of epithelium of large intestine	Enterocyte	CL:0000584	Large intestine	UBERON:0000059	2.79022420854542e-13	0.0829113669480461	0.0206642066420664	0.0126258646839894	1.89873886947656
van_Zyl_eye_2020_SchwalbeLine	Adult	Sensory system	van_Zyl_eye_2020	SchwalbeLine	Schwalbe line	NA	Eye	UBERON:0000970	0.000264026403744617	0.0128188040078248	0.134317343173432	0.0126799198327522	1.89688349221954
Braga_2020_lung_Fibroblast	Adult	Respiratory system	Braga_2020_lung	Fibroblast	Fibroblast	CL:0000057	Lung	UBERON:0002048	0.000713702781149639	0.0113807971479726	0.155719557195572	0.0130001129994627	1.88605287270625
TS_Blood_erythrocyte	Adult	Lymphatic system	TS_Blood	erythrocyte	Erythrocyte	CL:0000232	Blood	UBERON:0000178	0.0029044941213803	0.010066048018965	0.193357933579336	0.0140950778943812	1.85093251972097
Madissoon_2020_spleen_Monocyte	Adult	Lymphatic system	Madissoon_2020_spleen	Monocyte	Monocyte	CL:0000576	Spleen	UBERON:0002106	3.22432640862093e-05	0.0186530032677963	0.107749077490775	0.0144903679576401	1.83892058623733
Braga_2020_lung_B cell	Adult	Respiratory system	Braga_2020_lung	B cell	B cell	CL:0000236	Lung	UBERON:0002048	5.50451914658744e-05	0.0182010582546999	0.112915129151292	0.0147713520640183	1.83057975065503
Voigt_2019_retina_1_Fibroblast	Adult	Sensory system	Voigt_2019_retina_1	Fibroblast	Fibroblast	CL:0000057	Retina	UBERON:0000966	4.05591311799119e-05	0.0188584328192037	0.109225092250923	0.0148000515207981	1.82973677276995
TS_Pancreas_pancreatic ductal cell	Adult	Digestive system	TS_Pancreas	pancreatic ductal cell	Pancreatic ductal cell	CL:0002079	Pancreas	UBERON:0001264	8.2925246297573e-20	0.193678981066942	0.0118081180811808	0.0161930407541434	1.79067159110166
TS_Large_Intestine_immature enterocyte	Adult	Digestive system	TS_Large_Intestine	immature enterocyte	Enterocyte	CL:0000584	Large intestine	UBERON:0000059	6.03677690747303e-19	0.173916658221546	0.0132841328413284	0.0163348882436792	1.78688383243553
Voigt_2019_retina_2_Fibroblasts	Adult	Sensory system	Voigt_2019_retina_2	Fibroblasts	Fibroblast	CL:0000057	Retina	UBERON:0000966	5.6171635508481e-07	0.0328687282251917	0.0730627306273063	0.0168864092155077	1.77246269049313
Fetal_HCA_Heart_Schwann cells	Fetal	Cardiovascular system	Fetal_HCA_Heart	Schwann cells	Schwann cell	CL:0002573	Heart	UBERON:0000948	0.000895402071464473	0.0150785290733067	0.161623616236162	0.0171006777138905	1.76698667782009
AdultRectum_Enterocyte progenitor	Adult	Digestive system	AdultRectum	Enterocyte progenitor	Enterocyte	CL:0000584	Rectum	UBERON:0001052	0.000715267118666696	0.0161056768303439	0.156457564575646	0.0175975430968065	1.75454796252578
Segerstolpe_2016_PancreaticIslets_pancreatic ductal cell	Adult	Digestive system	Segerstolpe_2016_PancreaticIslets	pancreatic ductal cell	Pancreatic ductal cell	CL:0002079	Pancreas	UBERON:0001264	3.01097607460307e-07	0.0379633811000964	0.0664206642066421	0.0176077026920268	1.75429730350232
